Invoice	Date	Item Name	Net Sales
			14.88
417834			
	Mar 23, 2018	LA 갈비	19.88
			19.88
417832			
	Mar 23, 2018	불고기	14.88
	Mar 23, 2018	군만두	9.88
	Mar 23, 2018	비빔냉면	10.88
	Mar 23, 2018	ChuUm ChuRum	25.90
	Mar 23, 2018	Canadian Pitcher	38.85
			100.39
417737			
	Mar 23, 2018	LA 갈비	19.88
	Mar 23, 2018	순대접시	10.88
	Mar 23, 2018	찐만두	9.88
	Mar 23, 2018	떡만두국	10.88
			51.52
417828			
	Mar 23, 2018	불고기	14.88
	Mar 23, 2018	감자탕	29.88
	Mar 23, 2018	군만두	9.88
			54.64
417812			
	Mar 23, 2018	불고기	14.88
	Mar 23, 2018	갈비찜	38.88
	Mar 23, 2018	오징어불고기	14.88
	Mar 23, 2018	해물파전	19.88
			88.52
417794			
	Mar 23, 2018	불고기	14.88
	Mar 23, 2018	돌솥비빔밥	12.88
	Mar 23, 2018	김치순두부	10.88
			38.64
417760			
	Mar 23, 2018	LA 갈비	19.88
	Mar 23, 2018	감자탕	29.88
	Mar 23, 2018	해물파전	19.88
			69.64
417813			
	Mar 23, 2018	LA 갈비	39.76
	Mar 23, 2018	오징어불고기	14.88
	Mar 23, 2018	밥 Rice	4.00
			58.64
417817			
	Mar 23, 2018	LA 갈비	19.88
	Mar 23, 2018	떡볶이	26.88
	Mar 23, 2018	양념치킨	18.88
	Mar 23, 2018	해물순두부	10.88
			76.52
417808			
	Mar 23, 2018	LA 갈비	19.88
	Mar 23, 2018	잡채	18.88
			38.76
417801			
	Mar 23, 2018	LA 갈비	19.88
	Mar 23, 2018	된장순두부	10.88
	Mar 23, 2018	섞어순두부	10.88
			41.64
417658			
	Mar 22, 2018	밥 Rice	2.00
	Mar 22, 2018	해물순두부	10.88
	Mar 22, 2018	해물파전	19.88
	Mar 22, 2018	닭불고기	14.88
	Mar 22, 2018	불고기	14.88
	Mar 22, 2018	살고기당면	9.88
	Mar 22, 2018	돌솥비빔밥	38.64
			111.04
417723			
	Mar 22, 2018	Cass	83.30
	Mar 22, 2018	Ginger Ale	3.90
	Mar 22, 2018	부대찌게	29.88
	Mar 22, 2018	순대접시	10.88
	Mar 22, 2018	비빔냉면	10.88
			138.84
417659			
	Mar 22, 2018	된장순두부	10.88
	Mar 22, 2018	김치순두부	10.88
	Mar 22, 2018	찐만두	9.88
			31.64
417724			
	Mar 22, 2018	된장순두부	10.88
	Mar 22, 2018	살고기당면	9.88
	Mar 22, 2018	양념치킨	18.88
			39.64
417726			
	Mar 22, 2018	김치순두부	10.88
	Mar 22, 2018	해물파전	19.88
	Mar 22, 2018	버섯순두부	10.88
	Mar 22, 2018	coca-cola	3.90
	Mar 22, 2018	떡볶이	26.88
	Mar 22, 2018	LA 갈비	19.88
			92.30
417714			
	Mar 22, 2018	김치순두부	10.88
	Mar 22, 2018	불고기	14.88
	Mar 22, 2018	갈비탕	12.88
			38.64
417725			
	Mar 22, 2018	된장순두부	10.88
	Mar 22, 2018	살고기국수	9.88
	Mar 22, 2018	갈비탕	12.88
			33.64
417648			
	Mar 22, 2018	해물순두부	10.88
			10.88
417661			
	Mar 22, 2018	해물순두부	10.88
	Mar 22, 2018	따로국밥	10.88
			21.76
417670			
	Mar 22, 2018	해물순두부	10.88
	Mar 22, 2018	김치순두부	10.88
	Mar 22, 2018	Ginger Ale	1.95
	Mar 22, 2018	coca-cola	1.95
	Mar 22, 2018	통갈비	31.88
	Mar 22, 2018	비빔밥	10.88
	Mar 22, 2018	갈비탕	12.88
			81.30
417652			
	Mar 22, 2018	해물순두부	43.52
			43.52
417650			
	Mar 22, 2018	해물순두부	10.88
			10.88
417680			
	Mar 22, 2018	김치순두부	10.88
	Mar 22, 2018	비빔밥	10.88
	Mar 22, 2018	군만두	9.88
			31.64
417676			
	Mar 22, 2018	김치순두부	10.88
			10.88
417684			
	Mar 22, 2018	해물파전	19.88
	Mar 22, 2018	Canadian Pitcher	31.90
	Mar 22, 2018	불낙전골	34.88
			86.66
417672			
	Mar 22, 2018	해물파전	19.88
	Mar 22, 2018	LA 갈비	19.88
	Mar 22, 2018	갈비탕	12.88
			52.64
417682			
	Mar 22, 2018	해물파전	19.88
	Mar 22, 2018	불고기	14.88
	Mar 22, 2018	갈비찜	38.88
			73.64
417708			
	Mar 22, 2018	해물파전	19.88
	Mar 22, 2018	뚝배기불고기	10.88
	Mar 22, 2018	해물순두부	10.88
			41.64
417662			
	Mar 22, 2018	김치순두부	10.88
			10.88
417689			
	Mar 22, 2018	해물순두부	10.88
	Mar 22, 2018	오징어불고기	14.88
			25.76
417711			
	Mar 22, 2018	Honey B Pitcher	12.95
	Mar 22, 2018	비빔밥	10.88
	Mar 22, 2018	오징어불고기	14.88
	Mar 22, 2018	비빔냉면	10.88
			49.59
417729			
	Mar 22, 2018	Canadian Pitcher	12.95
			12.95
417727			
	Mar 22, 2018	Cham Soju	25.90
	Mar 22, 2018	족발	26.88
	Mar 22, 2018	따로국밥	10.88
			63.66
417732			
	Mar 22, 2018	Honey B Pitcher	12.95
	Mar 22, 2018	보쌈	21.15
			34.10
417668			
	Mar 22, 2018	버섯순두부	10.88
	Mar 22, 2018	잡채	18.88
	Mar 22, 2018	따로국밥	10.88
			40.64
417649			
	Mar 22, 2018	버섯순두부	10.88
	Mar 22, 2018	살고기당면	9.88
	Mar 22, 2018	순대국밥	10.88
			31.64
417706			
	Mar 22, 2018	섞어순두부	10.88
